date,content,like,comment,forward,share
2024-7-16,":蓝色小菱形:活動日期：即日起至𝟮𝟬𝟮𝟰/𝟴/𝟭𝟭
:蓝色小菱形:應援方式：追蹤迷客夏𝗧𝗵𝗿𝗲𝗮𝗱𝘀，在夏季限定微笑杯寫上想要加油的選手，拍照張貼在本篇貼文底下，同時寫下你想對選手說的話。
:蓝色小菱形:公佈日期：𝟮𝟬𝟮𝟰/𝟳/𝟮𝟮(一)、𝟮𝟬𝟮𝟰/𝟳/𝟮𝟵(一)、𝟮𝟬𝟮𝟰/𝟴/𝟱(一) 、𝟮𝟬𝟮𝟰/𝟴/𝟭𝟮(一) 公佈於迷客夏官方平台 ，將於隔週週五前發送電子飲品招待券。
:蓝色小菱形:𝗙𝗕/𝗜𝗚/𝗧𝗵𝗿𝗲𝗮𝗱𝘀 每週共抽出𝟭位，每帳號於活動期間限中獎一次。
:蓝色小菱形:迷客夏保有活動最終解釋之權利",51,18,2,4
2024-6-15,輕纖蕎麥茶,22,16,1,1
2024-6-13,"聽到有人呼喚我們:耳朵_较浅肤色:
現在迷客夏也喝得到蕎麥茶了！！！！！！",123,35,2,0
2024-5-8,":闪亮:粉綠豆鮮奶冰沙:闪亮:
首！波！限！量！上！市！",70,14,1,0
2024-4-30,國際珍奶日,69,7,3,0
2024-4-26,"到底！怎麼有這麼多葡萄？
而且我還都認識:花痴:",49,1,0,0
2024-4-24,,47,7,0,3
2024-4-22,喝一口繼續走,169,4,0,0
2024-4-20,"指定門市消費葡萄初戀季系列飲品:葡萄:
買𝟰杯+$𝟭𝟮𝟬元、買𝟲杯即贈𝗞𝗜𝗡𝗚𝗝𝗨𝗡野餐周邊",43,6,0,0
2024-4-16,"大家都知道我們是「迷客夏」嗎？
不是迷克夏也不是約克夏，望周知。",990,85,23,0
2024-4-12,"\ 迷點會員 限時獨享優惠 /
:扩音器:𝟰/𝟭𝟮-𝟰/𝟭𝟰 購買初戀葡萄季，限時贈送𝟭𝟬元飲品折價券（𝟰/𝟭𝟱-𝟰/𝟭𝟳使用）！",284,13,0,0
2024-4-10,,428,119,19,0
2024-4-10,我就不信發迷客夏的葡萄初戀季會有人按讚,437,40,3,0
2024-4-3,也祝福大家有個美好的連假,3216,9,125,0
2024-4-3,"迷粉們還好嗎？:恳求的脸:
大家要注意安全，我們都要好好的:做成心形的双手_较浅肤色:！",51,2,0,0
2024-3-21,"𝟯/𝟮𝟭-𝟯/𝟮𝟮 快閃兩日限時優惠:火焰:
購買葡萄系列飲品 享下次消費同系列折𝟭𝟬元
限量𝟱𝟬𝟬𝟬份 快發完了趕快上車！！！",52,8,0,0
2024-3-19,"安安，大家好久不見！
春天要來了，還有誰沒喝過迷客夏的葡萄初戀季呢？",56,14,2,0
2024-2-23,,64,48,1,0
2024-2-15,,17,4,0,0
2024-2-11,":龙头:初二回娘家 新年快樂
今天大家有沒有去哪裡玩？還是都宅在家？",187,6,1,0
2024-2-9,"寶們 新年快樂 :焰火:
怎麼大家都說按讚會有:龙头:跑出來
是真的嗎？！",1073,38,3,0
2024-2-7,"就用這隻特別的牛:奶牛头: 來跟大家拜個年～
祝大家龍年行大運 好運龍總來:红包:",77,3,1,0
2024-2-6,【小編掏心聊天室】,41,4,0,0
2024-2-5,,113,48,2,3
2024-2-1,"今天，成為全台最高手搖飲店:挥手::墨镜笑脸:
-
:闪亮:迷客夏臺北𝟭𝟬𝟭觀景店:闪亮: 盛大開幕
在 𝟴𝟵𝗙 邊喝高品質飲品 邊欣賞台北景色",174,8,2,0
2024-1-23,,549,54,0,1
2024-1-23,":闪亮:迷客夏電子飲料折抵券* 20張:闪亮: 1位幸運小迷粉 (每張價值 $65元)
:闪亮:新台味系列電子兌換券* 10張:闪亮: 1位幸運小迷粉
:闪亮:KINGJUN聯名琺瑯杯* 1個:闪亮: 2位幸運小迷粉 (不挑款，市價 $399元)",343,216,4,7
2024-1-22,,250,17,0,0
2024-1-19,"感謝寶請我們喝下午茶
聽說你剛剛打來要跟我說你也收到禮物了",149,42,5,0
2024-1-19,"脆上那些說喜歡我的人 我是不知道是不是只是說說而已
敢不敢截圖你有追蹤迷客夏IG的照片給小編看
證明你是真的愛我的（在線等",629,166,2,0
2024-1-18,"沒在跟你開玩笑
你說對吧",47,3,0,0
2024-1-18,,456,48,4,0
2024-1-17,,390,62,11,1
2024-1-16,第一則串文,3474,116,193,3
